Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/1/16,"3,499","8,502",2.28,21,"1,183",173,24,60,"1,802"
10/2/16,"3,177","6,580",3.05,11,"1,147",241,31,21,"1,535"
10/3/16,"3,493","12,277",6.12,14,"1,184",155,31,70,"1,721"
10/4/16,"2,983","7,079",3.37,4,"1,219",197,8,16,"1,168"
10/5/16,"2,773","5,361",2.49,4,"1,257",171,9,3,945
10/6/16,"2,730","6,258",2.9,4,"1,266",174,0,0,869
10/7/16,"3,551","11,386",5.75,10,"1,134",274,3,29,"1,843"
10/8/16,"3,234","7,881",3.66,9,"1,067",373,0,0,"1,683"
10/9/16,"2,999","6,077",2.82,7,"1,214",164,52,10,"1,253"
10/10/16,"2,985","7,986",3.71,13,"1,237",153,19,31,"1,178"
10/11/16,"2,952","7,274",3.39,9,"1,209",231,0,0,"1,169"
10/12/16,"3,018","7,664",3.56,9,"1,217",157,25,41,"1,282"
10/13/16,"3,514","12,547",6.31,7,"1,187",156,33,64,"1,718"
10/14/16,"3,268","9,554",4.81,10,"1,210",182,13,35,"1,493"
10/15/16,"3,205","9,880",5.04,11,"1,192",205,14,29,"1,476"
10/16/16,"3,396","9,251",4.29,3,"1,172",156,41,71,"1,701"
10/17/16,"3,197","10,445",4.85,15,"1,196",184,17,43,"1,454"
10/18/16,"3,290","10,771",5.53,14,"1,193",200,7,40,"1,533"
10/19/16,"3,182","9,394",4.46,13,"1,193",215,14,18,"1,395"
10/20/16,"2,746","4,729",2.2,4,"1,274",140,11,15,904
10/21/16,"3,201","10,788",5.39,9,"1,159",148,17,31,"1,321"
10/22/16,"2,837","8,425",3.91,6,"1,265",129,5,41,"1,041"
10/23/16,"3,593","11,255",5.61,9,"1,109",242,43,46,"1,969"
10/24/16,"3,556","12,990",6.5,8,"1,178",174,20,68,"1,825"
10/25/16,"3,020","7,141",3.31,4,"1,201",191,15,33,"1,285"
10/26/16,"2,867","7,431",3.45,7,"1,224",201,5,10,"1,067"
10/27/16,"3,098","7,964",3.7,5,"1,221",153,22,44,"1,310"
10/28/16,"3,017","9,052",4.2,10,"1,233",143,15,49,"1,249"